word,freq
us court,11
muslim majority,11
across world,19
cause death,14
israeli army,30
doctors without,32
oil industry,12
government protests,13
mainland china,11
group says,19
000 troops,25
court ordered,13
local police,16
billion dollars,16
south america,19
world top,11
mass grave,31
face jail,13
minister tony,22
says russian,20
25 million,12
sri lankan,43
activists say,20
announced plans,11
new constitution,19
bashar assad,14
rights violations,13
wal mart,21
saudi arabian,21
northern ireland,40
latin america,41
people arrested,19
years ago,130
rupert murdoch,75
wi fi,25
rights council,35
american military,13
near border,12
occupied west,22
suicide attack,11
feared dead,18
crude oil,17
pm tony,15
white phosphorus,20
warning issued,12
nicolas sarkozy,34
australian man,11
uk government,92
missile shield,12
counter terrorism,14
international monetary,14
terrorist organization,13
medical marijuana,31
developing countries,11
self defense,11
bbc news,269
13 year,35
rhino horn,19
billion euros,24
korea nuclear,16
breaking news,13
killing protesters,12
man dies,16
puerto rico,15
million dollar,13
court order,18
across europe,28
freedom speech,29
catholic church,99
nearly two,11
government officials,35
10 people,13
world population,20
hundreds thousands,32
20 years,63
number people,16
open fire,43
sea ice,15
state israel,21
palestinian territories,18
70 percent,17
tv show,12
julian assange,180
un rights,13
credit rating,21
25 000,21
credit card,16
11 000,12
nuclear warheads,17
military base,29
king abdullah,29
car bombs,12
pro democracy,42
sri lanka,68
anti isis,13
police force,30
court justice,22
burned death,11
self immolation,13
far reaching,11
afghan women,18
scotland yard,22
quake hits,11
catholic priest,11
minister says,58
body scanners,16
global warming,68
fossil fuels,44
taking part,16
human shields,11
wealth fund,12
internet access,24
paedophile ring,12
uk us,17
sex couples,17
silk road,16
us spying,16
civil liberties,16
60 minutes,13
take action,17
geert wilders,11
least 20,16
london riots,16
russian jet,11
police seize,13
peace deal,12
two years,90
police fire,12
bradley manning,25
security agency,15
iranian woman,11
international law,46
court rules,88
pay billion,13
15 billion,11
two children,14
even though,30
violent protests,16
worlds first,13
two women,14
user data,12
east africa,14
chinese officials,13
china sea,56
bank accounts,23
putin russia,11
czech republic,21
media report,11
two months,33
interior ministry,16
international community,12
russia india,13
tear gas,56
forces killed,15
mumbai attacks,23
terrorist attack,39
former british,11
china bans,16
snowden leaks,23
child soldiers,19
african countries,11
tax havens,20
black sea,26
authorities say,15
terror plot,12
attacks israel,11
legalize marijuana,13
internet users,41
death toll,86
hamas leader,20
israeli military,31
huge explosion,14
forces open,12
constitutional court,13
taliban commander,12
iron dome,11
french police,22
gulf oil,11
court ruled,46
says china,28
company says,12
israeli pm,25
swedish pirate,13
change law,11
british columbia,16
troops killed,17
russian military,25
60 000,22
sunday times,12
parliament votes,12
japan says,13
ten years,15
half million,25
debt crisis,22
two weeks,31
court human,14
political prisoners,13
economic growth,20
german president,11
egyptian police,12
80 people,11
first country,31
20 million,13
un resolution,13
muslim woman,17
police used,16
50 percent,14
says israeli,17
says would,13
turkish pm,34
food prices,29
sky news,16
video shows,27
six years,27
pro russian,41
world heritage,30
billions dollars,26
kill least,11
russian orthodox,12
sexually assaulted,15
organized crime,17
million year,15
past two,12
syrian security,12
appeals court,12
file sharing,22
co operation,12
yet another,11
rights lawyer,16
700 000,12
worst drought,11
every year,32
live coverage,11
falkland islands,12
west africa,33
fuel rods,11
political asylum,13
sexual violence,22
past year,12
state owned,21
french court,19
president hugo,16
military officials,11
groups say,11
year prison,19
one five,14
foreign minister,106
children killed,21
world record,14
war two,12
france germany,14
north america,22
gaza israel,12
end year,14
strikes syria,13
legal action,31
10 days,16
ruling party,27
strike syria,12
net neutrality,38
three people,14
german chancellor,37
long time,15
russian police,16
un general,13
child policy,11
100 million,34
join eu,12
sochi olympics,14
drug war,70
range missiles,12
winter olympics,14
migrant crisis,11
somali pirates,44
ice age,13
state john,11
ultra orthodox,35
prime ministers,12
arctic sea,18
last week,80
millions people,11
nuclear fuel,12
rights group,47
year old,644
presidential palace,17
qatar world,14
british pm,17
italian police,11
green party,18
000 years,45
nuclear reactors,22
per capita,19
right wing,60
men women,25
largest ever,16
iraq syria,19
30 million,16
two half,11
sex slaves,17
state media,38
pakistani army,12
face death,17
large scale,25
nearly 000,12
attorney general,14
south african,96
us russia,13
aid ship,16
10 000,97
president obama,33
snowden says,16
fukushima plant,18
illegal immigrants,12
persian gulf,14
bill clinton,13
israel right,13
julia gillard,14
forced work,11
australian senate,13
syrian army,42
mobile phone,26
rights activist,25
may use,11
justice minister,22
found guilty,76
brazil president,11
sources said,11
two former,12
nato troops,14
austerity measures,32
us president,32
must pay,12
al jazeera,153
china india,19
russian forces,18
green energy,12
mexican president,15
pirate party,66
year sentence,14
international court,15
digital economy,13
polar bear,11
missile defense,24
security forces,115
million people,82
us army,20
russian prime,14
dmitry medvedev,17
state tv,14
coral reefs,13
12 years,27
israel may,11
founder julian,35
minister benjamin,17
says iran,13
killed two,15
recep tayyip,22
law would,32
critics say,12
new powers,11
police said,23
central bank,47
across border,11
kevin rudd,14
sex abuse,79
us canada,15
oil companies,19
de facto,11
250 000,25
killed afghanistan,13
pacific ocean,25
iraq war,75
us forces,19
military court,13
saudi prince,22
riot police,45
law requiring,13
two countries,17
one two,14
three strikes,16
pride parade,13
killed us,18
killed syria,17
freedom information,11
eu parliament,15
death threats,39
un official,14
report says,63
al shabaab,11
long term,33
stop selling,11
drone strikes,49
ki moon,29
sierra leone,31
court sentenced,15
human right,19
supreme leader,32
hundreds millions,17
14 years,19
20 percent,13
across country,36
one year,39
low cost,11
war says,15
deputy prime,18
far right,69
took streets,16
leaked documents,25
solar panels,24
nuclear scientist,19
fox news,22
isis militants,23
hedge fund,12
stephen harper,25
israel gaza,26
first time,268
war drugs,59
us war,11
british woman,12
swine flu,46
australian prime,29
idf soldiers,12
un report,50
highest court,16
shale gas,11
jailed life,12
chinese city,14
crisis deepens,11
un says,32
israeli navy,14
pope francis,118
make way,14
world largest,64
defence minister,20
says us,47
african migrants,11
european court,37
oil leak,11
rejects us,11
russian official,11
bodies found,22
finance minister,33
intelligence agency,44
trans pacific,33
hiv positive,12
president barack,48
mexico president,13
says uk,20
israeli police,27
sex marriage,50
000 euros,16
silvio berlusconi,43
nelson mandela,13
security service,15
many people,21
eight years,21
court case,14
blockade gaza,17
armed men,14
news world,41
david attenborough,12
government says,34
fight isis,19
united kingdom,29
military intervention,22
pm david,14
within hours,13
three men,18
news china,11
neo nazis,25
italian prime,14
three years,61
30 000,56
news international,44
mass protests,22
mexico drug,23
100 000,90
water supply,23
murdoch news,11
calls us,13
scientists warn,13
least one,13
drinking water,33
money laundering,36
high school,22
israel approves,14
yr old,61
detention centre,12
eastern europe,17
us embassy,38
new delhi,20
health care,26
hits record,11
illegal drugs,12
shot head,16
court says,14
global financial,16
tsunami warning,18
abuse scandal,17
could lead,22
100 people,11
anti semitic,17
power plants,27
nuclear power,82
join isis,13
coca cola,31
free syrian,11
germans want,11
taking place,15
chief staff,11
new poll,12
ship carrying,13
old son,13
war russia,18
officials said,42
shark fin,14
wild animals,11
fukushima nuclear,58
says world,14
western sanctions,12
minister calls,20
en route,11
new government,22
latin american,29
york times,35
president putin,14
without charge,13
looks like,35
navy ship,12
youth unemployment,13
gaza war,36
face trial,19
shots fired,12
ever seen,19
per cent,57
trade agreement,21
police kill,12
palestinian president,12
military bases,21
war crime,35
general strike,21
intelligence services,11
canada new,13
civilians killed,25
30 year,11
ex president,14
child sex,47
criminal charges,22
plane crash,33
shin bet,11
world bank,78
nuclear weapons,77
pretty much,11
police brutality,19
airport security,12
china russia,26
declares war,13
civilian casualties,12
young people,43
syrian forces,30
undercover police,16
gender equality,13
class action,13
muslim brotherhood,57
flotilla raid,12
without permission,12
russia warns,23
nobel peace,64
gaddafi forces,14
said thursday,51
cargo ship,15
90 percent,16
sentenced death,54
eu countries,12
state news,11
one three,12
look like,13
military intelligence,13
russian bombers,12
nsa surveillance,23
four months,16
text messages,19
kim jong,177
united states,311
commit suicide,15
nuclear deal,22
island nation,14
man convicted,11
anti semitism,24
killing people,12
bay founder,20
footage shows,11
said friday,22
attack killed,15
golden dawn,20
would make,21
two year,12
arms deal,14
back home,11
president dilma,15
israeli settlements,22
british troops,13
tokyo electric,17
prophet muhammad,17
carbon tax,15
niger delta,11
islamic law,11
state television,11
70 000,16
years prison,94
syrian troops,19
co2 emissions,11
war terror,15
russia new,11
us air,21
war afghanistan,18
mass graves,19
civil servants,13
first known,12
study finds,53
new record,17
internet censorship,23
forces fire,11
mexican police,17
army chief,11
ethnic cleansing,26
clean energy,29
solar power,46
intelligence agencies,30
england wales,18
heart attack,11
old girl,91
data protection,13
trade deal,36
gas attack,14
biggest banks,11
found near,14
hugo chavez,46
guantanamo bay,21
interest rate,15
thousands people,31
mahmoud abbas,12
new military,11
rocket launch,12
republic congo,15
minister silvio,13
black market,23
id cards,12
fossil fuel,46
paris attacks,30
white house,72
syrian rebels,83
worst ever,14
millions dollars,20
40 000,24
civil rights,14
anti muslim,15
elephants killed,11
without borders,39
air france,32
next month,24
report finds,31
long running,12
short range,11
whistleblower edward,20
people including,22
human rights,477
syrian opposition,16
state militants,20
vietnam war,12
ever found,11
billion people,18
muammar gaddafi,34
syrian government,21
humanitarian crisis,12
three months,33
becomes first,41
cnn com,53
record low,18
former head,12
bush administration,17
legalizing marijuana,13
new evidence,20
study shows,24
us government,51
intelligence chief,12
least three,12
red cross,45
worlds largest,36
arab spring,20
nuclear plant,78
state iraq,12
nuclear bomb,13
dark side,17
right die,12
drugs war,14
cell phone,19
jazeera english,39
minimum wage,28
500 year,11
tax evasion,24
health officials,15
co uk,27
could cause,11
india china,18
women girls,21
missile launch,16
russian spy,13
malala yousafzai,17
would give,14
police station,21
conservative party,14
took place,11
us troops,32
drug policy,18
old man,18
16 000,16
toxic waste,17
news guardian,16
asylum seekers,53
nytimes com,37
around globe,11
state department,21
northern mali,15
may become,11
health minister,17
take part,16
peace prize,64
law making,11
16 year,36
foreign ministry,24
missile test,11
social media,58
sea shepherd,20
